2018-08-29 03:58:36->由于目标计算机积极拒绝，无法连接。 172.18.114.203:9002
2018-08-29 03:58:36 055	连接设备失败!
2018-08-29 04:05:26 652	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:26 652	心跳应答：55 AA 27 06 00 E0 00 C6 53 86 5B 00 89 
2018-08-29 04:05:31 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:31 853	心跳应答：55 AA 28 06 00 E0 00 CB 53 86 5B 00 8B 
2018-08-29 04:05:36 652	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:36 653	心跳应答：55 AA 29 06 00 E0 00 D0 53 86 5B 00 91 
2018-08-29 04:05:41 852	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:41 852	心跳应答：55 AA 2A 06 00 E0 00 D5 53 86 5B 00 97 
2018-08-29 04:05:46 652	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:46 653	心跳应答：55 AA 2B 06 00 E0 00 DA 53 86 5B 00 99 
2018-08-29 04:05:51 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:51 853	心跳应答：55 AA 2C 06 00 E0 00 DF 53 86 5B 00 9B 
2018-08-29 04:05:56 652	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:56 652	心跳应答：55 AA 2D 06 00 E0 00 E4 53 86 5B 00 A1 
2018-08-29 04:06:01 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:01 853	心跳应答：55 AA 2E 06 00 E0 00 E9 53 86 5B 00 AF 
2018-08-29 04:06:06 653	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:06 653	心跳应答：55 AA 2F 06 00 E0 00 EE 53 86 5B 00 A9 
2018-08-29 04:06:11 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:11 854	心跳应答：55 AA 30 06 00 E0 00 F3 53 86 5B 00 AB 
2018-08-29 04:06:17 054	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:17 054	心跳应答：55 AA 31 06 00 E0 00 F9 53 86 5B 00 A0 
2018-08-29 04:06:21 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:21 854	心跳应答：55 AA 32 06 00 E0 00 FD 53 86 5B 00 A7 
2018-08-29 04:06:27 054	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:27 054	心跳应答：55 AA 33 06 00 E0 00 03 54 86 5B 00 5F 
2018-08-29 04:06:31 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:31 854	心跳应答：55 AA 34 06 00 E0 00 07 54 86 5B 00 5C 
2018-08-29 04:06:36 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:36 654	心跳应答：55 AA 35 06 00 E0 00 0C 54 86 5B 00 56 
2018-08-29 04:06:41 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:41 854	心跳应答：55 AA 36 06 00 E0 00 11 54 86 5B 00 48 
2018-08-29 04:06:46 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:46 654	心跳应答：55 AA 37 06 00 E0 00 16 54 86 5B 00 4E 
2018-08-29 04:06:51 854	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:06:51 854	心跳应答：55 AA 38 06 00 E0 00 1B 54 86 5B 00 4C 
2018-08-29 04:06:56 654	收到心跳帧：06 00 F0 00 00 00 00 00 00 
